Time	Position X	Position Y	Position Z	Rotation[0]	Rotation[1]	Rotation[2]	Rotation[3]	Rotation[4]	Rotation[5]	Rotation[6]	Rotation[7]	Rotation[8]
0.1	0.03708617	0.01371759	0.30723244	1	1.90E-04	-0.00032	-1.90E-04	1	-2.30E-04	0.00032	2.30E-04	1
0.2	0.03704817	0.01361382	0.30724124	1	2.10E-04	-5.70E-04	-2.10E-04	1	-4.90E-04	5.70E-04	4.90E-04	1
0.3	0.03697283	0.01363976	0.30724206	1	3.10E-04	-0.00026	-3.10E-04	1	-7.10E-04	0.00026	7.10E-04	1
0.4	0.03693502	0.0136282	0.30718081	1	4.40E-04	-1.60E-04	-4.40E-04	1	-5.70E-04	1.60E-04	5.70E-04	1
0.5	0.03694228	0.01361294	0.30717193	1	3.90E-04	-0.00013	-3.90E-04	1	-6.30E-04	0.00013	6.30E-04	1
0.6	0.03690207	0.01360664	0.30718841	1	4.90E-04	-2.10E-04	-4.90E-04	1	-0.00068	2.10E-04	0.00068	1
0.7	0.03713154	0.01353876	0.30719276	1	4.10E-04	-4.00E-05	-4.10E-04	1	-0.00113	4.00E-05	0.00113	1
0.8	0.03729541	0.01346543	0.30705329	1	0.00037	0.00012	-0.00037	1	-0.00151	-0.00012	0.00151	1
0.9	0.03702254	0.01362309	0.30706752	1	2.40E-04	-1.00E-05	-2.40E-04	1	-0.00107	1.00E-05	0.00107	1
1	0.03699611	0.01361552	0.30707177	1	2.50E-04	4.00E-05	-2.50E-04	1	-0.00105	-4.00E-05	0.00105	1
1.1	0.03681642	0.01359752	0.3069648	1	-0.0003	3.00E-05	0.0003	1	-0.00084	-2.00E-05	0.00084	1
1.2	0.03685606	0.01355889	0.3069958	1	0.00022	-1.50E-04	-0.00023	1	-0.00092	1.50E-04	0.00092	1
1.3	0.03681812	0.01354735	0.30701363	1	0.00012	-2.90E-04	-0.00012	1	-0.00097	2.90E-04	0.00097	1
1.4	0.03685063	0.01351126	0.30698989	1	0.00013	-4.20E-04	-0.00014	1	-0.00114	4.20E-04	0.00114	1
1.5	0.0368499	0.01352815	0.30701163	1	0.00015	-3.90E-04	-0.00015	1	-0.00112	3.90E-04	0.00112	1
1.6	0.03684916	0.01353101	0.30699065	1	1.60E-04	-4.90E-04	-1.60E-04	1	-0.00101	4.90E-04	0.00101	1
1.7	0.03679996	0.0135389	0.3069855	1	0.00013	-3.60E-04	-0.00013	1	-0.00099	3.60E-04	0.00099	1
1.8	0.03680299	0.01352697	0.30698037	1	8.00E-05	-3.30E-04	-8.00E-05	1	-0.00096	3.30E-04	0.00096	1
1.9	0.03680079	0.01354942	0.30698177	1	0.00014	-4.20E-04	-0.00014	1	-0.00103	4.20E-04	0.00103	1
2	0.03678245	0.01351824	0.30697494	1	0.00011	-0.00035	-0.00011	1	-0.00106	0.00035	0.00106	1
2.1	0.03675374	0.01356829	0.30694492	1	0.0001	-3.80E-04	-0.0001	1	-0.0009	3.80E-04	0.0009	1
2.2	0.03679595	0.01356333	0.30698331	1	4.00E-05	-5.00E-04	-4.00E-05	1	-0.00094	5.00E-04	0.00094	1
2.3	0.03702649	0.01360168	0.30701709	1	0.00014	-1.13E-03	-0.00014	1	-0.001	1.13E-03	0.001	1
2.4	0.03768151	0.01395487	0.30731724	1	-0.00022	-2.66E-03	0.00021	1	-0.00162	2.66E-03	0.00162	1
2.5	0.04004518	0.01411238	0.30816389	0.99995	0.00267	-1.00E-02	-0.0027	0.99999	-0.00385	9.99E-03	0.00388	0.99994
2.6	0.04275067	0.01399316	0.30943194	0.99984	0.00936	-1.51E-02	-0.00944	0.99994	-0.00514	1.51E-02	0.00528	0.99987
2.7	0.04814953	0.01468819	0.31233804	0.99905	0.02562	-3.54E-02	-0.02573	0.99966	-0.00281	3.53E-02	0.00372	0.99937
2.8	0.05634187	0.01577257	0.32063418	0.99762	0.03359	-6.03E-02	-0.03395	0.99941	-0.00488	6.01E-02	0.00692	0.99817
2.9	0.05937305	0.01530992	0.33331319	0.99855	0.02771	-4.62E-02	-0.02805	0.99958	-0.00676	4.60E-02	0.00805	0.99891
3	0.05926009	0.01375781	0.34963266	0.99918	0.02799	-2.91E-02	-0.02848	0.99945	-0.01672	2.86E-02	0.01753	0.99944
3.1	0.05995315	0.01213982	0.3677625	0.99917	0.02547	-0.03177	-0.0261	0.99947	-1.96E-02	0.03125	2.04E-02	0.9993
3.2	0.06282279	0.0101156	0.38653542	0.9991	0.02496	-3.43E-02	-0.02592	0.99928	-2.77E-02	3.36E-02	2.86E-02	0.99903
3.3	0.07219437	0.00846491	0.40644158	0.99803	3.08E-02	-5.48E-02	-3.27E-02	0.99889	-0.03408	5.36E-02	0.0358	0.99792
3.4	0.08096324	0.0055829	0.4285435	0.99704	0.0346	-0.0687	-0.03643	0.99901	-2.56E-02	0.06775	2.80E-02	0.99731
3.5	0.0856339	0.00020913	0.45073004	0.99725	3.15E-02	-0.06702	-3.26E-02	0.99934	-1.57E-02	0.06648	1.78E-02	0.99763
3.6	0.08752201	-0.00648717	0.47330244	0.9978	2.85E-02	-0.05979	-2.91E-02	0.99954	-0.00858	0.05952	0.0103	0.99817
3.7	0.08962598	-0.01140675	0.49279552	0.9982	0.02457	-0.05471	-0.02521	0.99962	-1.09E-02	0.05442	1.23E-02	0.99844
3.8	0.09487903	-0.01381409	0.51241481	0.99738	0.02853	-0.06646	-0.02896	0.99956	-0.00558	0.06628	0.00749	0.99777
3.9	0.09947646	-0.01272713	0.53743873	0.99655	0.02683	-0.07852	-0.0274	0.99961	-6.18E-03	0.07832	8.31E-03	0.99689
4	0.10145724	-0.01067764	0.56661302	0.99701	0.03131	-0.07062	-0.03197	0.99946	-8.14E-03	0.07033	1.04E-02	0.99747
4.1	0.10990122	-0.00778462	0.60137574	0.99513	0.03052	-0.09376	-0.03199	0.99939	-0.01415	0.09327	0.01708	0.99549
4.2	0.11998924	-0.00116551	0.63970588	0.99245	0.02411	-0.12022	-0.0286	0.99895	-0.0358	0.11923	0.03896	0.9921
4.3	0.1244293	0.00571874	0.67629576	0.99233	0.02293	-1.21E-01	-0.02823	0.99871	-4.21E-02	1.20E-01	4.52E-02	0.9917
4.4	0.12596786	0.01243793	0.70845287	0.99272	0.02445	-0.11796	-0.02917	0.99884	-0.03844	0.11688	0.0416	0.99227
4.5	0.12812021	0.01710817	0.73682132	0.99171	0.02662	-0.12574	-0.03024	0.99918	-0.02692	0.12492	0.0305	0.9917
4.6	0.13117313	0.01608255	0.76389759	0.98898	0.0335	-0.14423	-0.03366	0.99943	0.00134	0.14419	0.00353	0.98954
4.7	0.13153816	0.01399209	0.78866654	0.98871	0.04387	-0.1433	-0.0425	0.99902	0.01259	0.14371	-0.00636	0.9896
4.8	0.12822278	0.01309028	0.80891881	0.99134	0.034	-0.12688	-0.03381	0.99942	0.00367	0.12693	0.00065	0.99191
4.9	0.12332797	0.01168538	0.82513306	0.99157	0.02584	-0.127	-0.02587	0.99966	0.00145	0.127	0.00185	0.9919
5	0.1209459	0.01199265	0.84146585	0.98773	0.02882	-0.1535	-0.02926	0.99957	-0.00062	0.15342	0.00511	0.98815
5.1	0.11553815	0.01341788	0.86162585	0.98607	0.02923	-0.16376	-0.0292	0.99957	0.00262	0.16377	0.0022	0.9865
5.2	0.10752265	0.0139409	0.88595206	0.98983	0.04048	-0.13635	-0.03918	0.99916	0.01214	0.13673	-0.00668	0.99059
5.3	0.10187104	0.01449137	0.91145677	0.99274	0.04357	-0.11213	-0.04143	0.99891	0.02141	0.11294	-0.0166	0.99346
5.4	0.09715451	0.01633609	0.94031676	0.99489	0.03948	-0.09288	-0.03738	0.99901	0.02417	0.09374	-0.02057	0.99538
5.5	0.09256557	0.01780914	0.96688427	0.99479	0.053	-0.08705	-0.05201	0.99855	0.01357	0.08764	-0.00897	0.99611
5.6	0.08616928	0.01262591	0.98538165	0.99596	0.05189	-0.07332	-0.05268	0.99857	-0.00889	0.07275	0.01272	0.99727
