Time	Position X	Position Y	Position Z	Rotation[0]	Rotation[1]	Rotation[2]	Rotation[3]	Rotation[4]	Rotation[5]	Rotation[6]	Rotation[7]	Rotation[8]
0.1	0.01272834	-0.00507272	0.30941878	1	-2.00E-05	0.0001	2.00E-05	1	-3.00E-05	-0.0001	3.00E-05	1
0.2	0.01270874	-0.00507486	0.30941376	1	1.20E-04	-4.00E-05	-1.20E-04	1	-4.00E-05	4.00E-05	4.00E-05	1
0.3	0.01273327	-0.00507053	0.30940914	1	1.00E-05	0.00012	-1.00E-05	1	-7.00E-05	-0.00012	7.00E-05	1
0.4	0.01272587	-0.00511264	0.30937763	1	4.00E-05	1.30E-04	-4.00E-05	1	5.00E-05	-1.30E-04	-5.00E-05	1
0.5	0.01270603	-0.00511346	0.30937193	1	4.00E-05	0.00011	-4.00E-05	1	1.30E-04	-0.00011	-1.30E-04	1
0.6	0.01270758	-0.00510826	0.30936207	1	8.00E-05	9.00E-05	-8.00E-05	1	0.00013	-9.00E-05	-0.00013	1
0.7	0.01272539	-0.0051201	0.30935595	1	-2.00E-05	0.0001	2.00E-05	1	0.00014	-0.0001	-0.00014	1
0.8	0.01249276	-0.0049604	0.3093062	1	0.00047	0.00018	-0.00047	1	0.00017	-0.00018	-0.00017	1
0.9	0.01250065	-0.00493107	0.30929975	1	5.10E-04	0.00018	-5.10E-04	1	0.00019	-0.00018	-0.00019	1
1	0.01247966	-0.00492183	0.30929237	1	5.60E-04	9.00E-05	-5.60E-04	1	0.00019	-9.00E-05	-0.00019	1
1.1	0.01241343	-0.00500755	0.30920363	1	0.00037	-1.50E-04	-0.00037	1	0.00028	1.50E-04	-0.00028	1
1.2	0.01240785	-0.00500983	0.30921225	1	0.0004	-2.90E-04	-0.0004	1	0.00027	2.90E-04	-0.00027	1
1.3	0.01239858	-0.00500128	0.30920702	1	0.00036	-1.90E-04	-0.00036	1	0.00028	1.90E-04	-0.00028	1
1.4	0.01236756	-0.00497077	0.30916567	1	0.00026	-3.80E-04	-0.00026	1	0.00048	3.80E-04	-0.00048	1
1.5	0.01238072	-0.00502596	0.30919793	1	0.00031	-2.40E-04	-0.00031	1	0.00027	2.40E-04	-0.00027	1
1.6	0.01235705	-0.00496917	0.30918324	1	6.00E-04	-3.80E-04	-6.00E-04	1	0.00022	3.80E-04	-0.00022	1
1.7	0.01238952	-0.00499875	0.30918815	1	0.00045	-1.90E-04	-0.00045	1	0.00042	1.90E-04	-0.00042	1
1.8	0.01239308	-0.00497209	0.30916036	1	0.0004	-2.60E-04	-0.0004	1	0.00025	2.60E-04	-0.00025	1
1.9	0.0123752	-0.00499839	0.30918032	1	0.00036	-2.30E-04	-0.00036	1	0.00028	2.30E-04	-0.00028	1
2	0.01239148	-0.00501485	0.30916919	1	0.00039	-0.00017	-0.00039	1	0.0003	0.00017	-0.0003	1
2.1	0.01237695	-0.00499086	0.30916588	1	0.00037	-2.20E-04	-0.00037	1	0.00028	2.20E-04	-0.00028	1
2.2	0.01236501	-0.00500437	0.30915774	1	0.00047	-2.40E-04	-0.00047	1	0.00026	2.40E-04	-0.00026	1
2.3	0.01236941	-0.00500191	0.30917516	1	0.00042	-1.70E-04	-0.00042	1	0.00032	1.70E-04	-0.00032	1
2.4	0.01231755	-0.00492668	0.30919985	1	0.0002	-1.10E-04	-0.0002	1	0.0004	1.10E-04	-0.0004	1
2.5	0.01231742	-0.0049009	0.30920824	1	0.00026	-2.40E-04	-0.00026	1	0.00044	2.40E-04	-0.00044	1
2.6	0.01237142	-0.00498199	0.30916076	1	0.00048	-2.80E-04	-0.00048	1	0.00033	2.80E-04	-0.00033	1
2.7	0.01236384	-0.00498294	0.30915508	1	0.00046	-2.20E-04	-0.00046	1	0.00044	2.20E-04	-0.00044	1
2.8	0.01239232	-0.004979	0.30915618	1	0.00047	-2.90E-04	-0.00047	1	0.00043	3.00E-04	-0.00043	1
2.9	0.01237133	-0.00498176	0.30915551	1	0.00038	-2.00E-04	-0.00038	1	0.00037	2.00E-04	-0.00037	1
3	0.01237869	-0.00495723	0.30916558	1	0.00047	-1.90E-04	-0.00047	1	0.00024	1.90E-04	-0.00024	1
3.1	0.0123721	-0.00499619	0.30915767	1	0.00047	-0.00024	-0.00047	1	3.70E-04	0.00024	-3.70E-04	1
3.2	0.01240472	-0.00495524	0.30915676	1	0.0005	-4.10E-04	-0.0005	1	2.30E-04	4.10E-04	-2.30E-04	1
3.3	0.01239291	-0.00495577	0.30915747	1	4.00E-04	-2.80E-04	-4.00E-04	1	0.0003	2.80E-04	-0.0003	1
3.4	0.01232033	-0.00500542	0.3091442	1	0.00065	-0.00033	-0.00065	1	7.00E-05	0.00033	-7.00E-05	1
3.5	0.01233849	-0.00496985	0.30918751	1	6.80E-04	-0.0004	-6.80E-04	1	1.20E-04	0.0004	-1.20E-04	1
3.6	0.0123102	-0.00499866	0.30917665	1	5.50E-04	-0.00029	-5.50E-04	1	0.00022	0.00029	-0.00022	1
3.7	0.01230868	-0.00501044	0.30918045	1	0.00063	-0.00031	-0.00063	1	-1.00E-05	0.00031	1.00E-05	1
3.8	0.01228349	-0.00506895	0.30917866	1	0.00055	-0.00039	-0.00055	1	-0.00016	0.00039	0.00016	1
3.9	0.01231355	-0.00504425	0.30916957	1	0.00052	-0.00048	-0.00052	1	-2.00E-05	0.00048	2.00E-05	1
4	0.01229084	-0.00506529	0.30917666	1	0.00068	-0.00042	-0.00068	1	-7.00E-05	0.00042	7.00E-05	1
4.1	0.01221418	-0.00503546	0.30914801	1	0.0007	-0.0006	-0.0007	1	0.0002	0.0006	-0.0002	1
4.2	0.01239879	-0.00501508	0.309172	1	0.00074	-0.00086	-0.00074	1	-0.00014	0.00086	0.00014	1
4.3	0.01218665	-0.00507918	0.30914907	1	0.00043	-3.00E-05	-0.00043	1	-8.00E-05	3.00E-05	8.00E-05	1
4.4	0.01239063	-0.00501256	0.30920369	1	0.00025	-0.00064	-0.00025	1	-0.0003	0.00064	0.0003	1
4.5	0.01221598	-0.00506678	0.30929938	1	0.00091	-0.00024	-0.00091	1	-0.0001	0.00024	0.0001	1
4.6	0.01189312	-0.00529035	0.30939794	1	0.00148	0.00067	-0.00148	1	0.00047	-0.00067	-0.00047	1
4.7	0.01160751	-0.00547135	0.30942169	1	0.00235	0.00169	-0.00235	1	0.00086	-0.00169	-0.00086	1
4.8	0.01222391	-0.00527952	0.30956326	0.99999	0.0038	-0.00044	-0.0038	0.99999	0.00066	0.00044	-0.00066	1
